Date,Home,Away,Time,TV
28 Sep 2024,Joventut Badalona,UCAM Murcia,18:00,N/A
28 Sep 2024,Unicaja,Girona Basketball,18:00,N/A
28 Sep 2024,MoraBanc Andorra,Dreamland Gran Canaria,20:45,N/A
28 Sep 2024,BAXI Manresa,Valencia Basket,20:45,N/A
29 Sep 2024,Barça,Coviran Granada,12:30,N/A
29 Sep 2024,The Laguna Tenerife,Baskonia,13:00,N/A
29 Sep 2024,Casademont Zaragoza,Lleida Hypopos,17:00,N/A
29 Sep 2024,Surne Bilbao Basket,Breogan River,17:00,N/A
29 Sep 2024,Leyma Coruña,real Madrid,18:30,N/A
05 Oct 2024,Baskonia,MoraBanc Andorra,18:00,N/A
05 Oct 2024,Breogan River,The Laguna Tenerife,18:00,N/A
05 Oct 2024,UCAM Murcia,Surne Bilbao Basket,20:45,N/A
05 Oct 2024,Valencia Basket,Joventut Badalona,20:45,N/A
06 Oct 2024,real Madrid,Casademont Zaragoza,12:30,N/A
06 Oct 2024,Dreamland Gran Canaria,Leyma Coruña,13:00,N/A
06 Oct 2024,Girona Basketball,BAXI Manresa,17:00,N/A
06 Oct 2024,Coviran Granada,Unicaja,17:00,N/A
06 Oct 2024,Lleida Hypopos,Barça,18:30,N/A
12 Oct 2024,Baskonia,UCAM Murcia,18:00,N/A
12 Oct 2024,Unicaja,Lleida Hypopos,18:00,N/A
12 Oct 2024,MoraBanc Andorra,Leyma Coruña,20:45,N/A
12 Oct 2024,Girona Basketball,Coviran Granada,20:45,N/A
13 Oct 2024,Surne Bilbao Basket,real Madrid,12:30,N/A
13 Oct 2024,BAXI Manresa,Dreamland Gran Canaria,12:30,N/A
13 Oct 2024,Breogan River,Valencia Basket,17:00,N/A
13 Oct 2024,Casademont Zaragoza,Joventut Badalona,17:00,N/A
13 Oct 2024,The Laguna Tenerife,Barça,18:30,N/A
04 Jan 2025,BAXI Manresa,UCAM Murcia,18:00,N/A
04 Jan 2025,Lleida Hypopos,Girona Basketball,18:00,N/A
04 Jan 2025,MoraBanc Andorra,Breogan River,20:45,N/A
04 Jan 2025,Unicaja,Casademont Zaragoza,20:45,N/A
04 Jan 2025,The Laguna Tenerife,Joventut Badalona,21:30,N/A
05 Jan 2025,Surne Bilbao Basket,Barça,12:30,N/A
05 Jan 2025,Joventut Badalona,Leyma Coruña,12:30,N/A
05 Jan 2025,Valencia Basket,Coviran Granada,12:30,N/A
05 Jan 2025,Dreamland Gran Canaria,Baskonia,13:00,N/A
06 Jan 2025,real Madrid,BAXI Manresa,20:30,N/A
11 Jan 2025,Surne Bilbao Basket,Unicaja,18:00,N/A
11 Jan 2025,Valencia Basket,Coviran Granada,18:00,N/A
11 Jan 2025,Casademont Zaragoza,BAXI Manresa,20:45,N/A
11 Jan 2025,Joventut Badalona,MoraBanc Andorra,20:45,N/A
12 Jan 2025,UCAM Murcia,Lleida Hypopos,12:30,N/A
12 Jan 2025,Breogan River,Leyma Coruña,12:30,N/A
12 Jan 2025,Dreamland Gran Canaria,The Laguna Tenerife,13:00,N/A
12 Jan 2025,Barça,Girona Basketball,17:00,N/A
12 Jan 2025,Baskonia,real Madrid,17:00,N/A
18 Jan 2025,Leyma Coruña,UCAM Murcia,18:00,N/A
18 Jan 2025,BAXI Manresa,Joventut Badalona,18:00,N/A
18 Jan 2025,The Laguna Tenerife,Girona Basketball,20:45,N/A
18 Jan 2025,Unicaja,Valencia Basket,20:45,N/A
19 Jan 2025,Lleida Hypopos,Dreamland Gran Canaria,12:30,N/A
19 Jan 2025,Coviran Granada,Casademont Zaragoza,12:30,N/A
19 Jan 2025,Barça,Surne Bilbao Basket,17:00,N/A
19 Jan 2025,Baskonia,Breogan River,17:00,N/A
19 Jan 2025,MoraBanc Andorra,real Madrid,18:30,N/A
25 Jan 2025,Valencia Basket,BAXI Manresa,18:00,N/A
25 Jan 2025,Breogan River,Surne Bilbao Basket,18:00,N/A
25 Jan 2025,Girona Basketball,Unicaja,20:45,N/A
25 Jan 2025,Joventut Badalona,Coviran Granada,20:45,N/A
26 Jan 2025,Casademont Zaragoza,MoraBanc Andorra,12:30,N/A
26 Jan 2025,Dreamland Gran Canaria,The Laguna Tenerife,13:00,N/A
26 Jan 2025,Lleida Hypopos,Baskonia,17:00,N/A
26 Jan 2025,real Madrid,Leyma Coruña,17:00,N/A
26 Jan 2025,UCAM Murcia,Barça,18:30,N/A
01 Feb 2025,Casademont Zaragoza,UCAM Murcia,18:00,N/A
01 Feb 2025,Coviran Granada,Girona Basketball,18:00,N/A
01 Feb 2025,MoraBanc Andorra,Valencia Basket,20:45,N/A
01 Feb 2025,Leyma Coruña,The Laguna Tenerife,20:45,N/A
02 Feb 2025,Unicaja,Dreamland Gran Canaria,12:30,N/A
02 Feb 2025,Baskonia,Joventut Badalona,13:00,N/A
02 Feb 2025,Surne Bilbao Basket,Breogan River,17:00,N/A
02 Feb 2025,Barça,Lleida Hypopos,17:00,N/A
02 Feb 2025,real Madrid,BAXI Manresa,18:30,N/A
08 Feb 2025,BAXI Manresa,Surne Bilbao Basket,18:00,N/A
08 Feb 2025,Breogan River,Unicaja,18:00,N/A
08 Feb 2025,UCAM Murcia,Valencia Basket,20:45,N/A
08 Feb 2025,Joventut Badalona,The Laguna Tenerife,20:45,N/A
09 Feb 2025,Lleida Hypopos,Leyma Coruña,12:30,N/A
