Date,Home,Away,Time,TV
Sunday 15 December 2024,Perth Scorchers,Melbourne Stars,15:15,
Monday 16 December 2024,Sydney Sixers,Melbourne Renegades,15:15,
Tuesday 17 December 2024,Adelaide Strikers,Sydney Thunder,15:15,
Wednesday 18 December 2024,Melbourne Stars,Brisbane Heat,15:15,
Thursday 19 December 2024,Melbourne Renegades,Hobart Hurricanes,15:15,
Friday 20 December 2024,Adelaide Strikers,Melbourne Stars,15:15,
Saturday 21 December 2024,Hobart Hurricanes,Perth Scorchers,00:00,
Saturday 21 December 2024,Sydney Sixers,Sydney Thunder,15:15,
Sunday 22 December 2024,Brisbane Heat,Adelaide Strikers,15:15,
Monday 23 December 2024,Melbourne Renegades,Perth Scorchers,15:15,
Thursday 26 December 2024,Sydney Sixers,Melbourne Stars,14:05,
Thursday 26 December 2024,Perth Scorchers,Brisbane Heat,17:15,
Friday 27 December 2024,Adelaide Strikers,Hobart Hurricanes,15:15,
Saturday 28 December 2024,Melbourne Stars,Sydney Thunder,15:15,
Sunday 29 December 2024,Brisbane Heat,Sydney Sixers,15:15,
Monday 30 December 2024,Sydney Thunder,Melbourne Renegades,15:15,
Tuesday 31 December 2024,Adelaide Strikers,Perth Scorchers,15:15,
Wednesday 01 January 2025,Hobart Hurricanes,Sydney Sixers,00:00,
Wednesday 01 January 2025,Brisbane Heat,Melbourne Stars,15:15,
Thursday 02 January 2025,Melbourne Renegades,Adelaide Strikers,15:15,
Friday 03 January 2025,Brisbane Heat,Sydney Sixers,14:05,
Friday 03 January 2025,Perth Scorchers,Sydney Thunder,17:15,
Saturday 04 January 2025,Melbourne Renegades,Melbourne Stars,15:15,
Sunday 05 January 2025,Hobart Hurricanes,Adelaide Strikers,15:15,
Monday 06 January 2025,Brisbane Heat,Sydney Thunder,15:15,
Tuesday 07 January 2025,Perth Scorchers,Melbourne Renegades,15:15,
Wednesday 08 January 2025,Sydney Thunder,Hobart Hurricanes,15:15,
Thursday 09 January 2025,Melbourne Stars,Sydney Sixers,15:15,
Friday 10 January 2025,Hobart Hurricanes,Sydney Thunder,15:15,
Saturday 11 January 2025,Sydney Sixers,Perth Scorchers,00:45,
Saturday 11 January 2025,Adelaide Strikers,Brisbane Heat,16:00,
Sunday 12 January 2025,Melbourne Renegades,Melbourne Stars,15:15,
Monday 13 January 2025,Sydney Thunder,Perth Scorchers,15:30,
Tuesday 14 January 2025,Hobart Hurricanes,Melbourne Renegades,15:30,
Wednesday 15 January 2025,Adelaide Strikers,Sydney Sixers,15:30,
Thursday 16 January 2025,Brisbane Heat,Hobart Hurricanes,15:30,
Friday 17 January 2025,Sydney Sixers,Sydney Thunder,15:15,
Saturday 18 January 2025,Melbourne Renegades,Brisbane Heat,13:00,
Saturday 18 January 2025,Perth Scorchers,Adelaide Strikers,16:15,
