Date,Home,Away,Time
Friday 23 August 2024,Borussia Mönchengladbach,Bayer 04 Leverkusen,14:30
Saturday 24 August 2024,RB Leipzig,VfL Bochum 1848,09:30
Saturday 24 August 2024,TSG Hoffenheim,Holstein Kiel,09:30
Saturday 24 August 2024,SC Freiburg,VfB Stuttgart,09:30
Saturday 24 August 2024,FC Augsburg,SV Werder Bremen,09:30
Saturday 24 August 2024,1. FSV Mainz 05,1. FC Union Berlin,09:30
Saturday 24 August 2024,Borussia Dortmund,Eintracht Frankfurt,12:30
Sunday 25 August 2024,VfL Wolfsburg,FC Bayern München,09:30
Sunday 25 August 2024,FC St. Pauli,1. FC Heidenheim 1846,11:30
Friday 30 August 2024,1. FC Union Berlin,FC St. Pauli,14:30
Saturday 31 August 2024,VfB Stuttgart,1. FSV Mainz 05,09:30
Saturday 31 August 2024,Eintracht Frankfurt,TSG Hoffenheim,09:30
Saturday 31 August 2024,SV Werder Bremen,Borussia Dortmund,09:30
Saturday 31 August 2024,VfL Bochum 1848,Borussia Mönchengladbach,09:30
Saturday 31 August 2024,Holstein Kiel,VfL Wolfsburg,09:30
Saturday 31 August 2024,Bayer 04 Leverkusen,RB Leipzig,12:30
Sunday 1 September 2024,1. FC Heidenheim 1846,FC Augsburg,09:30
Sunday 1 September 2024,FC Bayern München,SC Freiburg,11:30
Friday 13 September 2024,Borussia Dortmund,1. FC Heidenheim 1846,14:30
Saturday 14 September 2024,RB Leipzig,1. FC Union Berlin,09:30
Saturday 14 September 2024,TSG Hoffenheim,Bayer 04 Leverkusen,09:30
Saturday 14 September 2024,SC Freiburg,VfL Bochum 1848,09:30
Saturday 14 September 2024,VfL Wolfsburg,Eintracht Frankfurt,09:30
Saturday 14 September 2024,Borussia Mönchengladbach,VfB Stuttgart,09:30
Saturday 14 September 2024,Holstein Kiel,FC Bayern München,12:30
Sunday 15 September 2024,FC Augsburg,FC St. Pauli,09:30
Sunday 15 September 2024,1. FSV Mainz 05,SV Werder Bremen,11:30
Friday 20 September 2024,FC Augsburg,1. FSV Mainz 05,14:30
Saturday 21 September 2024,1. FC Heidenheim 1846,SC Freiburg,09:30
Saturday 21 September 2024,SV Werder Bremen,FC Bayern München,09:30
Saturday 21 September 2024,1. FC Union Berlin,TSG Hoffenheim,09:30
Saturday 21 September 2024,VfL Bochum 1848,Holstein Kiel,09:30
Saturday 21 September 2024,Eintracht Frankfurt,Borussia Mönchengladbach,12:30
Sunday 22 September 2024,Bayer 04 Leverkusen,VfL Wolfsburg,09:30
Sunday 22 September 2024,VfB Stuttgart,Borussia Dortmund,11:30
Sunday 22 September 2024,FC St. Pauli,RB Leipzig,13:30
Friday 27 September 2024,Borussia Dortmund,VfL Bochum 1848,14:30
Saturday 28 September 2024,RB Leipzig,FC Augsburg,09:30
Saturday 28 September 2024,SC Freiburg,FC St. Pauli,09:30
Saturday 28 September 2024,VfL Wolfsburg,VfB Stuttgart,09:30
Saturday 28 September 2024,1. FSV Mainz 05,1. FC Heidenheim 1846,09:30
Saturday 28 September 2024,Borussia Mönchengladbach,1. FC Union Berlin,09:30
Saturday 28 September 2024,FC Bayern München,Bayer 04 Leverkusen,12:30
Sunday 29 September 2024,Holstein Kiel,Eintracht Frankfurt,09:30
Sunday 29 September 2024,TSG Hoffenheim,SV Werder Bremen,11:30
Saturday 5 October 2024,Bayer 04 Leverkusen,Holstein Kiel,09:30
Saturday 5 October 2024,VfB Stuttgart,TSG Hoffenheim,09:30
Saturday 5 October 2024,Eintracht Frankfurt,FC Bayern München,09:30
Saturday 5 October 2024,1. FC Heidenheim 1846,RB Leipzig,09:30
Saturday 5 October 2024,SV Werder Bremen,SC Freiburg,09:30
Saturday 5 October 2024,FC Augsburg,Borussia Mönchengladbach,09:30
Saturday 5 October 2024,1. FC Union Berlin,Borussia Dortmund,09:30
Saturday 5 October 2024,VfL Bochum 1848,VfL Wolfsburg,09:30
Saturday 5 October 2024,FC St. Pauli,1. FSV Mainz 05,09:30
Saturday 19 October 2024,Bayer 04 Leverkusen,Eintracht Frankfurt,09:30
Saturday 19 October 2024,FC Bayern München,VfB Stuttgart,09:30
Saturday 19 October 2024,Borussia Dortmund,FC St. Pauli,09:30
Saturday 19 October 2024,TSG Hoffenheim,VfL Bochum 1848,09:30
Saturday 19 October 2024,SC Freiburg,FC Augsburg,09:30
Saturday 19 October 2024,VfL Wolfsburg,SV Werder Bremen,09:30
Saturday 19 October 2024,1. FSV Mainz 05,RB Leipzig,09:30
Saturday 19 October 2024,Borussia Mönchengladbach,1. FC Heidenheim 1846,09:30
Saturday 19 October 2024,Holstein Kiel,1. FC Union Berlin,09:30
Saturday 26 October 2024,VfB Stuttgart,Holstein Kiel,09:30
Saturday 26 October 2024,RB Leipzig,SC Freiburg,09:30
Saturday 26 October 2024,1. FC Heidenheim 1846,TSG Hoffenheim,09:30
Saturday 26 October 2024,SV Werder Bremen,Bayer 04 Leverkusen,09:30
Saturday 26 October 2024,FC Augsburg,Borussia Dortmund,09:30
Saturday 26 October 2024,1. FSV Mainz 05,Borussia Mönchengladbach,09:30
Saturday 26 October 2024,1. FC Union Berlin,Eintracht Frankfurt,09:30
Saturday 26 October 2024,VfL Bochum 1848,FC Bayern München,09:30
Saturday 26 October 2024,FC St. Pauli,VfL Wolfsburg,09:30
Saturday 2 November 2024,Bayer 04 Leverkusen,VfB Stuttgart,10:30
Saturday 2 November 2024,FC Bayern München,1. FC Union Berlin,10:30
Saturday 2 November 2024,Borussia Dortmund,RB Leipzig,10:30
Saturday 2 November 2024,Eintracht Frankfurt,VfL Bochum 1848,10:30
Saturday 2 November 2024,TSG Hoffenheim,FC St. Pauli,10:30
Saturday 2 November 2024,SC Freiburg,1. FSV Mainz 05,10:30
Saturday 2 November 2024,VfL Wolfsburg,FC Augsburg,10:30
Saturday 2 November 2024,Borussia Mönchengladbach,SV Werder Bremen,10:30
Saturday 2 November 2024,Holstein Kiel,1. FC Heidenheim 1846,10:30
Saturday 9 November 2024,VfB Stuttgart,Eintracht Frankfurt,09:30
Saturday 9 November 2024,RB Leipzig,Borussia Mönchengladbach,09:30
Saturday 9 November 2024,1. FC Heidenheim 1846,VfL Wolfsburg,09:30
Saturday 9 November 2024,SV Werder Bremen,Holstein Kiel,09:30
Saturday 9 November 2024,FC Augsburg,TSG Hoffenheim,09:30
Saturday 9 November 2024,1. FSV Mainz 05,Borussia Dortmund,09:30
Saturday 9 November 2024,1. FC Union Berlin,SC Freiburg,09:30
Saturday 9 November 2024,VfL Bochum 1848,Bayer 04 Leverkusen,09:30
Saturday 9 November 2024,FC St. Pauli,FC Bayern München,09:30
Saturday 23 November 2024,Bayer 04 Leverkusen,1. FC Heidenheim 1846,09:30
Saturday 23 November 2024,VfB Stuttgart,VfL Bochum 1848,09:30
Saturday 23 November 2024,FC Bayern München,FC Augsburg,09:30
Saturday 23 November 2024,Borussia Dortmund,SC Freiburg,09:30
Saturday 23 November 2024,Eintracht Frankfurt,SV Werder Bremen,09:30
Saturday 23 November 2024,TSG Hoffenheim,RB Leipzig,09:30
Saturday 23 November 2024,VfL Wolfsburg,1. FC Union Berlin,09:30
Saturday 23 November 2024,Borussia Mönchengladbach,FC St. Pauli,09:30
Saturday 23 November 2024,Holstein Kiel,1. FSV Mainz 05,09:30
Saturday 30 November 2024,RB Leipzig,VfL Wolfsburg,09:30
Saturday 30 November 2024,Borussia Dortmund,FC Bayern München,09:30
Saturday 30 November 2024,1. FC Heidenheim 1846,Eintracht Frankfurt,09:30
Saturday 30 November 2024,SV Werder Bremen,VfB Stuttgart,09:30
Saturday 30 November 2024,SC Freiburg,Borussia Mönchengladbach,09:30
Saturday 30 November 2024,FC Augsburg,VfL Bochum 1848,09:30
Saturday 30 November 2024,1. FSV Mainz 05,TSG Hoffenheim,09:30
Saturday 30 November 2024,1. FC Union Berlin,Bayer 04 Leverkusen,09:30
Saturday 30 November 2024,FC St. Pauli,Holstein Kiel,09:30
Saturday 7 December 2024,Bayer 04 Leverkusen,FC St. Pauli,09:30
Saturday 7 December 2024,VfB Stuttgart,1. FC Union Berlin,09:30
Saturday 7 December 2024,FC Bayern München,1. FC Heidenheim 1846,09:30
Saturday 7 December 2024,Eintracht Frankfurt,FC Augsburg,09:30
Saturday 7 December 2024,TSG Hoffenheim,SC Freiburg,09:30
Saturday 7 December 2024,VfL Wolfsburg,1. FSV Mainz 05,09:30
Saturday 7 December 2024,Borussia Mönchengladbach,Borussia Dortmund,09:30
Saturday 7 December 2024,VfL Bochum 1848,SV Werder Bremen,09:30
Saturday 7 December 2024,Holstein Kiel,RB Leipzig,09:30
Saturday 14 December 2024,RB Leipzig,Eintracht Frankfurt,09:30
Saturday 14 December 2024,Borussia Dortmund,TSG Hoffenheim,09:30
Saturday 14 December 2024,1. FC Heidenheim 1846,VfB Stuttgart,09:30
Saturday 14 December 2024,SC Freiburg,VfL Wolfsburg,09:30
Saturday 14 December 2024,FC Augsburg,Bayer 04 Leverkusen,09:30
Saturday 14 December 2024,1. FSV Mainz 05,FC Bayern München,09:30
Saturday 14 December 2024,Borussia Mönchengladbach,Holstein Kiel,09:30
Saturday 14 December 2024,1. FC Union Berlin,VfL Bochum 1848,09:30
Saturday 14 December 2024,FC St. Pauli,SV Werder Bremen,09:30
Saturday 21 December 2024,Bayer 04 Leverkusen,SC Freiburg,09:30
Saturday 21 December 2024,VfB Stuttgart,FC St. Pauli,09:30
Saturday 21 December 2024,FC Bayern München,RB Leipzig,09:30
Saturday 21 December 2024,Eintracht Frankfurt,1. FSV Mainz 05,09:30
Saturday 21 December 2024,TSG Hoffenheim,Borussia Mönchengladbach,09:30
Saturday 21 December 2024,SV Werder Bremen,1. FC Union Berlin,09:30
Saturday 21 December 2024,VfL Wolfsburg,Borussia Dortmund,09:30
Saturday 21 December 2024,VfL Bochum 1848,1. FC Heidenheim 1846,09:30
Saturday 21 December 2024,Holstein Kiel,FC Augsburg,09:30
Saturday 11 January 2025,RB Leipzig,SV Werder Bremen,09:30
Saturday 11 January 2025,Borussia Dortmund,Bayer 04 Leverkusen,09:30
Saturday 11 January 2025,TSG Hoffenheim,VfL Wolfsburg,09:30
Saturday 11 January 2025,1. FC Heidenheim 1846,1. FC Union Berlin,09:30
Saturday 11 January 2025,SC Freiburg,Holstein Kiel,09:30
Saturday 11 January 2025,FC Augsburg,VfB Stuttgart,09:30
Saturday 11 January 2025,1. FSV Mainz 05,VfL Bochum 1848,09:30
Saturday 11 January 2025,Borussia Mönchengladbach,FC Bayern München,09:30
Saturday 11 January 2025,FC St. Pauli,Eintracht Frankfurt,09:30
Wednesday 15 January 2025,Bayer 04 Leverkusen,1. FSV Mainz 05,14:30
Wednesday 15 January 2025,VfB Stuttgart,RB Leipzig,14:30
Wednesday 15 January 2025,FC Bayern München,TSG Hoffenheim,14:30
Wednesday 15 January 2025,Eintracht Frankfurt,SC Freiburg,14:30
Wednesday 15 January 2025,SV Werder Bremen,1. FC Heidenheim 1846,14:30
Wednesday 15 January 2025,VfL Wolfsburg,Borussia Mönchengladbach,14:30
Wednesday 15 January 2025,1. FC Union Berlin,FC Augsburg,14:30
Wednesday 15 January 2025,VfL Bochum 1848,FC St. Pauli,14:30
Wednesday 15 January 2025,Holstein Kiel,Borussia Dortmund,14:30
Saturday 18 January 2025,Bayer 04 Leverkusen,Borussia Mönchengladbach,09:30
Saturday 18 January 2025,VfB Stuttgart,SC Freiburg,09:30
Saturday 18 January 2025,FC Bayern München,VfL Wolfsburg,09:30
Saturday 18 January 2025,Eintracht Frankfurt,Borussia Dortmund,09:30
Saturday 18 January 2025,1. FC Heidenheim 1846,FC St. Pauli,09:30
Saturday 18 January 2025,SV Werder Bremen,FC Augsburg,09:30
Saturday 18 January 2025,1. FC Union Berlin,1. FSV Mainz 05,09:30
Saturday 18 January 2025,VfL Bochum 1848,RB Leipzig,09:30
Saturday 18 January 2025,Holstein Kiel,TSG Hoffenheim,09:30
Saturday 25 January 2025,RB Leipzig,Bayer 04 Leverkusen,09:30
Saturday 25 January 2025,Borussia Dortmund,SV Werder Bremen,09:30
Saturday 25 January 2025,TSG Hoffenheim,Eintracht Frankfurt,09:30
Saturday 25 January 2025,SC Freiburg,FC Bayern München,09:30
Saturday 25 January 2025,FC Augsburg,1. FC Heidenheim 1846,09:30
Saturday 25 January 2025,VfL Wolfsburg,Holstein Kiel,09:30
Saturday 25 January 2025,1. FSV Mainz 05,VfB Stuttgart,09:30
Saturday 25 January 2025,Borussia Mönchengladbach,VfL Bochum 1848,09:30
Saturday 25 January 2025,FC St. Pauli,1. FC Union Berlin,09:30
Saturday 1 February 2025,Bayer 04 Leverkusen,TSG Hoffenheim,09:30
Saturday 1 February 2025,VfB Stuttgart,Borussia Mönchengladbach,09:30
Saturday 1 February 2025,FC Bayern München,Holstein Kiel,09:30
