Date,Home,Away,Time,TV
Thursday 29 August 2024,Antigua and Barbuda Falcons,St Kitts and Nevis Patriots,19:00,
Friday 30 August 2024,Antigua and Barbuda Falcons,Guyana Amazon Warriors,19:00,
Saturday 31 August 2024,St Kitts and Nevis Patriots,Trinbago Knight Riders,19:00,
Sunday 01 September 2024,Antigua and Barbuda Falcons,Barbados Royals,10:00,
Sunday 01 September 2024,St Kitts and Nevis Patriots,St Lucia Kings,19:00,
Tuesday 03 September 2024,Antigua and Barbuda Falcons,St Lucia Kings,19:00,
Wednesday 04 September 2024,St Kitts and Nevis Patriots,Guyana Amazon Warriors,19:00,
Thursday 05 September 2024,Antigua and Barbuda Falcons,Trinbago Knight Riders,19:00,
Friday 06 September 2024,St Kitts and Nevis Patriots,Barbados Royals,19:00,
Saturday 07 September 2024,St Lucia Kings,Guyana Amazon Warriors,19:00,
Sunday 08 September 2024,St Kitts and Nevis Patriots,Antigua and Barbuda Falcons,10:00,
Tuesday 10 September 2024,St Lucia Kings,Trinbago Knight Riders,19:00,
Wednesday 11 September 2024,Barbados Royals,Antigua and Barbuda Falcons,19:00,
Thursday 12 September 2024,St Lucia Kings,St Kitts and Nevis Patriots,19:00,
Friday 13 September 2024,Barbados Royals,Trinbago Knight Riders,19:00,
Saturday 14 September 2024,Barbados Royals,Guyana Amazon Warriors,19:00,
Sunday 15 September 2024,St Lucia Kings,Antigua and Barbuda Falcons,19:00,
Tuesday 17 September 2024,Barbados Royals,St Kitts and Nevis Patriots,19:00,
Wednesday 18 September 2024,Trinbago Knight Riders,Guyana Amazon Warriors,19:00,
Thursday 19 September 2024,Trinbago Knight Riders,Antigua and Barbuda Falcons,19:00,
Friday 20 September 2024,Guyana Amazon Warriors,St Kitts and Nevis Patriots,19:00,
Saturday 21 September 2024,St Lucia Kings,Barbados Royals,10:00,
Saturday 21 September 2024,Guyana Amazon Warriors,Antigua and Barbuda Falcons,19:00,
Sunday 22 September 2024,Barbados Royals,St Lucia Kings,10:00,
Sunday 22 September 2024,Trinbago Knight Riders,St Kitts and Nevis Patriots,19:00,
Tuesday 24 September 2024,Trinbago Knight Riders,St Lucia Kings,10:00,
Wednesday 25 September 2024,Guyana Amazon Warriors,Barbados Royals,19:00,
Friday 27 September 2024,Trinbago Knight Riders,Barbados Royals,19:00,
Saturday 28 September 2024,Guyana Amazon Warriors,St Lucia Kings,10:00,
Sunday 29 September 2024,Guyana Amazon Warriors,Trinbago Knight Riders,19:00,
