Date,Home,Away,Time
Thursday 3 October 2024,Alba Berlin,Panathinaikos Aktor Athens,18:45
Thursday 3 October 2024,AS Monaco,EA7 Emporio Armani Milan,19:00
Thursday 3 October 2024,Zalgiris Kaunas,FC Barcelona,20:00
Thursday 3 October 2024,Maccabi Playtika Tel Aviv,LDLC ASVEL Villeurbanne,20:05
Thursday 3 October 2024,Baskonia Vitoria-Gasteiz,Partizan Mozzart Bet Belgrade,20:30
Thursday 3 October 2024,FC Bayern Munich,Real Madrid,20:45
Friday 4 October 2024,Fenerbahce Beko Istanbul,Olympiacos Piraeus,20:30
Friday 4 October 2024,Paris Basketball,Crvena Zvezda Meridianbet Belgrade,21:00
Friday 4 October 2024,Virtus Segafredo Bologna,Anadolu Efes Istanbul,21:00
Wednesday 9 October 2024,AS Monaco,Maccabi Playtika Tel Aviv,19:00
Wednesday 9 October 2024,Crvena Zvezda Meridianbet Belgrade,Baskonia Vitoria-Gasteiz,20:00
Thursday 10 October 2024,Anadolu Efes Istanbul,Fenerbahce Beko Istanbul,20:30
Thursday 10 October 2024,LDLC ASVEL Villeurbanne,Virtus Segafredo Bologna,20:00
Thursday 10 October 2024,Panathinaikos Aktor Athens,FC Bayern Munich,21:15
Thursday 10 October 2024,Real Madrid,Partizan Mozzart Bet Belgrade,20:45
Friday 11 October 2024,Olympiacos Piraeus,Zalgiris Kaunas,21:15
Friday 11 October 2024,EA7 Emporio Armani Milan,Paris Basketball,20:30
Friday 11 October 2024,FC Barcelona,Alba Berlin,20:30
Tuesday 15 October 2024,Alba Berlin,LDLC ASVEL Villeurbanne,19:30
Tuesday 15 October 2024,Fenerbahce Beko Istanbul,Crvena Zvezda Meridianbet Belgrade,20:45
Tuesday 15 October 2024,Maccabi Playtika Tel Aviv,Anadolu Efes Istanbul,20:05
Tuesday 15 October 2024,Olympiacos Piraeus,EA7 Emporio Armani Milan,21:15
Tuesday 15 October 2024,Baskonia Vitoria-Gasteiz,Real Madrid,20:30
Tuesday 15 October 2024,Paris Basketball,Panathinaikos Aktor Athens,20:30
Tuesday 15 October 2024,Virtus Segafredo Bologna,Zalgiris Kaunas,20:30
Tuesday 15 October 2024,Partizan Mozzart Bet Belgrade,FC Bayern Munich,20:45
Wednesday 16 October 2024,FC Barcelona,AS Monaco,20:30
Thursday 17 October 2024,Alba Berlin,Fenerbahce Beko Istanbul,19:30
Thursday 17 October 2024,Maccabi Playtika Tel Aviv,Partizan Mozzart Bet Belgrade,20:05
Thursday 17 October 2024,EA7 Emporio Armani Milan,Zalgiris Kaunas,20:30
Thursday 17 October 2024,FC Bayern Munich,Paris Basketball,20:45
Thursday 17 October 2024,Real Madrid,Panathinaikos Aktor Athens,20:45
Friday 18 October 2024,AS Monaco,Virtus Segafredo Bologna,19:00
Friday 18 October 2024,Anadolu Efes Istanbul,Olympiacos Piraeus,20:30
Friday 18 October 2024,Crvena Zvezda Meridianbet Belgrade,FC Barcelona,20:00
Friday 18 October 2024,LDLC ASVEL Villeurbanne,Baskonia Vitoria-Gasteiz,20:30
Wednesday 23 October 2024,Partizan Mozzart Bet Belgrade,Virtus Segafredo Bologna,20:30
Thursday 24 October 2024,AS Monaco,Paris Basketball,19:00
Thursday 24 October 2024,Zalgiris Kaunas,Maccabi Playtika Tel Aviv,20:00
Thursday 24 October 2024,EA7 Emporio Armani Milan,Anadolu Efes Istanbul,20:30
Thursday 24 October 2024,Baskonia Vitoria-Gasteiz,Alba Berlin,20:30
Thursday 24 October 2024,Real Madrid,Crvena Zvezda Meridianbet Belgrade,20:45
Friday 25 October 2024,Fenerbahce Beko Istanbul,Panathinaikos Aktor Athens,20:45
Friday 25 October 2024,FC Barcelona,LDLC ASVEL Villeurbanne,20:30
Friday 25 October 2024,FC Bayern Munich,Olympiacos Piraeus,20:45
Tuesday 29 October 2024,Anadolu Efes Istanbul,FC Barcelona,20:30
Tuesday 29 October 2024,Fenerbahce Beko Istanbul,Maccabi Playtika Tel Aviv,20:45
Tuesday 29 October 2024,Alba Berlin,Paris Basketball,19:30
Tuesday 29 October 2024,Olympiacos Piraeus,Real Madrid,21:15
Tuesday 29 October 2024,Baskonia Vitoria-Gasteiz,EA7 Emporio Armani Milan,20:30
Tuesday 29 October 2024,Virtus Segafredo Bologna,FC Bayern Munich,21:00
Wednesday 30 October 2024,Zalgiris Kaunas,Crvena Zvezda Meridianbet Belgrade,20:00
Wednesday 30 October 2024,Panathinaikos Aktor Athens,LDLC ASVEL Villeurbanne,21:15
Wednesday 30 October 2024,Partizan Mozzart Bet Belgrade,AS Monaco,20:45
Thursday 31 October 2024,Alba Berlin,Anadolu Efes Istanbul,20:00
Thursday 31 October 2024,Maccabi Playtika Tel Aviv,Real Madrid,20:05
Thursday 31 October 2024,Olympiacos Piraeus,FC Barcelona,21:15
Thursday 31 October 2024,EA7 Emporio Armani Milan,Virtus Segafredo Bologna,20:30
Friday 1 November 2024,Fenerbahce Beko Istanbul,Partizan Mozzart Bet Belgrade,20:45
Friday 1 November 2024,Zalgiris Kaunas,AS Monaco,20:00
Friday 1 November 2024,Crvena Zvezda Meridianbet Belgrade,Panathinaikos Aktor Athens,20:00
Friday 1 November 2024,LDLC ASVEL Villeurbanne,FC Bayern Munich,20:00
Friday 1 November 2024,Paris Basketball,Baskonia Vitoria-Gasteiz,20:45
Thursday 7 November 2024,Anadolu Efes Istanbul,AS Monaco,20:30
Thursday 7 November 2024,Crvena Zvezda Meridianbet Belgrade,Alba Berlin,19:00
Thursday 7 November 2024,EA7 Emporio Armani Milan,Real Madrid,20:30
Thursday 7 November 2024,FC Bayern Munich,Zalgiris Kaunas,20:45
Thursday 7 November 2024,Paris Basketball,Partizan Mozzart Bet Belgrade,20:45
Friday 8 November 2024,LDLC ASVEL Villeurbanne,Fenerbahce Beko Istanbul,20:00
Friday 8 November 2024,Panathinaikos Aktor Athens,Olympiacos Piraeus,21:15
Friday 8 November 2024,FC Barcelona,Baskonia Vitoria-Gasteiz,20:30
Friday 8 November 2024,Virtus Segafredo Bologna,Maccabi Playtika Tel Aviv,20:30
Tuesday 12 November 2024,Fenerbahce Beko Istanbul,FC Bayern Munich,20:45
Tuesday 12 November 2024,AS Monaco,Crvena Zvezda Meridianbet Belgrade,19:00
Tuesday 12 November 2024,Alba Berlin,EA7 Emporio Armani Milan,20:00
Tuesday 12 November 2024,Olympiacos Piraeus,LDLC ASVEL Villeurbanne,21:00
Tuesday 12 November 2024,Panathinaikos Aktor Athens,Maccabi Playtika Tel Aviv,21:15
Tuesday 12 November 2024,Baskonia Vitoria-Gasteiz,Anadolu Efes Istanbul,20:30
Tuesday 12 November 2024,Real Madrid,Virtus Segafredo Bologna,20:45
Wednesday 13 November 2024,Partizan Mozzart Bet Belgrade,FC Barcelona,20:30
Wednesday 13 November 2024,Paris Basketball,Zalgiris Kaunas,20:30
Thursday 14 November 2024,LDLC ASVEL Villeurbanne,Crvena Zvezda Meridianbet Belgrade,20:00
Thursday 14 November 2024,Maccabi Playtika Tel Aviv,Olympiacos Piraeus,20:05
Thursday 14 November 2024,Baskonia Vitoria-Gasteiz,AS Monaco,20:30
Thursday 14 November 2024,FC Bayern Munich,Alba Berlin,20:30
Thursday 14 November 2024,Real Madrid,Anadolu Efes Istanbul,20:45
Friday 15 November 2024,Zalgiris Kaunas,Fenerbahce Beko Istanbul,20:00
Friday 15 November 2024,FC Barcelona,Paris Basketball,20:30
Friday 15 November 2024,Partizan Mozzart Bet Belgrade,EA7 Emporio Armani Milan,20:30
Friday 15 November 2024,Virtus Segafredo Bologna,Panathinaikos Aktor Athens,20:30
Wednesday 20 November 2024,Virtus Segafredo Bologna,Fenerbahce Beko Istanbul,20:30
Thursday 21 November 2024,AS Monaco,LDLC ASVEL Villeurbanne,19:00
Thursday 21 November 2024,Crvena Zvezda Meridianbet Belgrade,Partizan Mozzart Bet Belgrade,20:00
Thursday 21 November 2024,Olympiacos Piraeus,Baskonia Vitoria-Gasteiz,21:15
Thursday 21 November 2024,EA7 Emporio Armani Milan,Maccabi Playtika Tel Aviv,20:30
Thursday 21 November 2024,Real Madrid,Alba Berlin,20:45
Friday 22 November 2024,Anadolu Efes Istanbul,Paris Basketball,20:30
Friday 22 November 2024,Zalgiris Kaunas,Panathinaikos Aktor Athens,20:00
Friday 22 November 2024,FC Bayern Munich,FC Barcelona,20:30
Thursday 28 November 2024,Zalgiris Kaunas,Baskonia Vitoria-Gasteiz,20:00
Thursday 28 November 2024,Alba Berlin,Maccabi Playtika Tel Aviv,20:00
Thursday 28 November 2024,Paris Basketball,Virtus Segafredo Bologna,20:30
Thursday 28 November 2024,Partizan Mozzart Bet Belgrade,Olympiacos Piraeus,20:30
Friday 29 November 2024,Fenerbahce Beko Istanbul,EA7 Emporio Armani Milan,20:45
Friday 29 November 2024,Crvena Zvezda Meridianbet Belgrade,FC Bayern Munich,20:00
Friday 29 November 2024,Panathinaikos Aktor Athens,AS Monaco,21:15
Friday 29 November 2024,FC Barcelona,Real Madrid,20:30
Friday 29 November 2024,LDLC ASVEL Villeurbanne,Anadolu Efes Istanbul,21:00
Tuesday 3 December 2024,Anadolu Efes Istanbul,FC Bayern Munich,20:30
Tuesday 3 December 2024,LDLC ASVEL Villeurbanne,Real Madrid,20:00
Tuesday 3 December 2024,Maccabi Playtika Tel Aviv,Paris Basketball,20:05
