Date,Home,Away,Time
Thursday 15 August 2024,Detroit Tigers,Seattle Mariners,13:10
Thursday 15 August 2024,New York Mets,Oakland Athletics,13:10
Thursday 15 August 2024,Milwaukee Brewers,Los Angeles Dodgers,14:10
Thursday 15 August 2024,San Francisco Giants,Atlanta Braves,15:45
Thursday 15 August 2024,Baltimore Orioles,Boston Red Sox,18:35
Thursday 15 August 2024,Philadelphia Phillies,Washington Nationals,18:40
Thursday 15 August 2024,Texas Rangers,Minnesota Twins,20:05
Friday 16 August 2024,Chicago Cubs,Toronto Blue Jays,14:20
Friday 16 August 2024,Cincinnati Reds,Kansas City Royals,18:40
Friday 16 August 2024,Detroit Tigers,New York Yankees,18:40
Friday 16 August 2024,Philadelphia Phillies,Washington Nationals,18:40
Friday 16 August 2024,Pittsburgh Pirates,Seattle Mariners,18:40
Friday 16 August 2024,Tampa Bay Rays,Arizona D'Backs,18:50
Friday 16 August 2024,Baltimore Orioles,Boston Red Sox,19:05
Friday 16 August 2024,New York Mets,Miami Marlins,19:10
Friday 16 August 2024,Texas Rangers,Minnesota Twins,20:05
Friday 16 August 2024,Houston Astros,Chicago White Sox,20:10
Friday 16 August 2024,Milwaukee Brewers,Cleveland Guardians,20:10
Friday 16 August 2024,St. Louis Cardinals,Los Angeles Dodgers,20:15
Friday 16 August 2024,Colorado Rockies,San Diego Padres,20:40
Saturday 17 August 2024,Pittsburgh Pirates,Seattle Mariners,13:05
Saturday 17 August 2024,Detroit Tigers,New York Yankees,13:10
Saturday 17 August 2024,Chicago Cubs,Toronto Blue Jays,14:20
Saturday 17 August 2024,New York Mets,Miami Marlins,16:10
Saturday 17 August 2024,Tampa Bay Rays,Arizona D'Backs,16:10
Saturday 17 August 2024,Philadelphia Phillies,Washington Nationals,18:05
Saturday 17 August 2024,Cincinnati Reds,Kansas City Royals,18:40
Saturday 17 August 2024,Baltimore Orioles,Boston Red Sox,19:05
Saturday 17 August 2024,Texas Rangers,Minnesota Twins,19:05
Saturday 17 August 2024,Oakland Athletics,San Francisco Giants,19:07
Saturday 17 August 2024,Houston Astros,Chicago White Sox,19:10
Saturday 17 August 2024,Milwaukee Brewers,Cleveland Guardians,19:15
Saturday 17 August 2024,St. Louis Cardinals,Los Angeles Dodgers,19:15
Saturday 17 August 2024,Colorado Rockies,San Diego Padres,20:10
Saturday 17 August 2024,Los Angeles Angels,Atlanta Braves,21:38
Sunday 18 August 2024,New York Mets,Miami Marlins,12:05
Sunday 18 August 2024,Baltimore Orioles,Boston Red Sox,13:35
Sunday 18 August 2024,Philadelphia Phillies,Washington Nationals,13:35
Sunday 18 August 2024,Pittsburgh Pirates,Seattle Mariners,13:35
Sunday 18 August 2024,Cincinnati Reds,Kansas City Royals,13:40
Sunday 18 August 2024,Tampa Bay Rays,Arizona D'Backs,13:40
Sunday 18 August 2024,Houston Astros,Chicago White Sox,14:10
Sunday 18 August 2024,Milwaukee Brewers,Cleveland Guardians,14:10
Sunday 18 August 2024,St. Louis Cardinals,Los Angeles Dodgers,14:15
Sunday 18 August 2024,Chicago Cubs,Toronto Blue Jays,14:20
Sunday 18 August 2024,Texas Rangers,Minnesota Twins,14:35
Sunday 18 August 2024,San Diego Padres,Colorado Rockies,15:10
Sunday 18 August 2024,Los Angeles Angels,Atlanta Braves,16:07
Sunday 18 August 2024,Oakland Athletics,San Francisco Giants,16:07
Sunday 18 August 2024,Detroit Tigers,New York Yankees,19:10
Monday 19 August 2024,Miami Marlins,Arizona D'Backs,18:40
Monday 19 August 2024,Toronto Blue Jays,Cincinnati Reds,19:07
Monday 19 August 2024,New York Mets,Baltimore Orioles,19:10
Monday 19 August 2024,Texas Rangers,Pittsburgh Pirates,20:05
Monday 19 August 2024,Houston Astros,Boston Red Sox,20:10
Monday 19 August 2024,Kansas City Royals,Los Angeles Angels,20:10
Monday 19 August 2024,Oakland Athletics,Tampa Bay Rays,21:40
Monday 19 August 2024,San Diego Padres,Minnesota Twins,21:40
Monday 19 August 2024,San Francisco Giants,Chicago White Sox,21:45
Monday 19 August 2024,Los Angeles Dodgers,Seattle Mariners,22:10
Tuesday 20 August 2024,Miami Marlins,Arizona D'Backs,18:40
Tuesday 20 August 2024,Washington Nationals,Colorado Rockies,18:45
Tuesday 20 August 2024,New York Yankees,Cleveland Guardians,19:05
Tuesday 20 August 2024,Toronto Blue Jays,Cincinnati Reds,19:07
Tuesday 20 August 2024,New York Mets,Baltimore Orioles,19:10
Tuesday 20 August 2024,Atlanta Braves,Philadelphia Phillies,19:20
Tuesday 20 August 2024,St. Louis Cardinals,Milwaukee Brewers,19:45
Tuesday 20 August 2024,Chicago Cubs,Detroit Tigers,20:05
Tuesday 20 August 2024,Texas Rangers,Pittsburgh Pirates,20:05
Tuesday 20 August 2024,Houston Astros,Boston Red Sox,20:10
Tuesday 20 August 2024,Kansas City Royals,Los Angeles Angels,20:10
Tuesday 20 August 2024,Oakland Athletics,Tampa Bay Rays,21:40
Tuesday 20 August 2024,San Diego Padres,Minnesota Twins,21:40
Tuesday 20 August 2024,San Francisco Giants,Chicago White Sox,21:45
Tuesday 20 August 2024,Los Angeles Dodgers,Seattle Mariners,22:10
Wednesday 21 August 2024,New York Mets,Baltimore Orioles,13:10
Wednesday 21 August 2024,Houston Astros,Boston Red Sox,14:10
Wednesday 21 August 2024,Texas Rangers,Pittsburgh Pirates,14:35
Wednesday 21 August 2024,San Francisco Giants,Chicago White Sox,15:45
Wednesday 21 August 2024,Miami Marlins,Arizona D'Backs,18:40
Wednesday 21 August 2024,San Diego Padres,Minnesota Twins,18:40
Wednesday 21 August 2024,Washington Nationals,Colorado Rockies,18:45
Wednesday 21 August 2024,New York Yankees,Cleveland Guardians,19:05
Wednesday 21 August 2024,Toronto Blue Jays,Cincinnati Reds,19:07
Wednesday 21 August 2024,Atlanta Braves,Philadelphia Phillies,19:20
Wednesday 21 August 2024,St. Louis Cardinals,Milwaukee Brewers,19:45
Wednesday 21 August 2024,Chicago Cubs,Detroit Tigers,20:05
Wednesday 21 August 2024,Kansas City Royals,Los Angeles Angels,20:10
Wednesday 21 August 2024,Oakland Athletics,Tampa Bay Rays,21:40
Wednesday 21 August 2024,Los Angeles Dodgers,Seattle Mariners,22:10
Thursday 22 August 2024,New York Yankees,Cleveland Guardians,13:05
Thursday 22 August 2024,Washington Nationals,Colorado Rockies,13:05
Thursday 22 August 2024,St. Louis Cardinals,Milwaukee Brewers,14:15
Thursday 22 August 2024,Chicago Cubs,Detroit Tigers,14:20
Thursday 22 August 2024,Oakland Athletics,Tampa Bay Rays,15:37
Thursday 22 August 2024,Pittsburgh Pirates,Cincinnati Reds,18:40
Thursday 22 August 2024,Toronto Blue Jays,Los Angeles Angels,19:07
Thursday 22 August 2024,Atlanta Braves,Philadelphia Phillies,19:15
Thursday 22 August 2024,Baltimore Orioles,Houston Astros,19:15
Thursday 22 August 2024,San Diego Padres,New York Mets,21:40
Friday 23 August 2024,Pittsburgh Pirates,Cincinnati Reds,18:40
Friday 23 August 2024,Baltimore Orioles,Houston Astros,19:05
Friday 23 August 2024,New York Yankees,Colorado Rockies,19:05
Friday 23 August 2024,Toronto Blue Jays,Los Angeles Angels,19:07
Friday 23 August 2024,Boston Red Sox,Arizona D'Backs,19:10
Friday 23 August 2024,Cleveland Guardians,Texas Rangers,19:10
Friday 23 August 2024,Miami Marlins,Chicago Cubs,19:10
Friday 23 August 2024,Atlanta Braves,Washington Nationals,19:20
Friday 23 August 2024,Chicago White Sox,Detroit Tigers,20:10
Friday 23 August 2024,Kansas City Royals,Philadelphia Phillies,20:10
Friday 23 August 2024,Minnesota Twins,St. Louis Cardinals,20:10
Friday 23 August 2024,Oakland Athletics,Milwaukee Brewers,21:40
Friday 23 August 2024,San Diego Padres,New York Mets,21:40
Friday 23 August 2024,Los Angeles Dodgers,Tampa Bay Rays,22:10
Friday 23 August 2024,Seattle Mariners,San Francisco Giants,22:10
Saturday 24 August 2024,New York Yankees,Colorado Rockies,14:05
Saturday 24 August 2024,Toronto Blue Jays,Los Angeles Angels,15:07
Saturday 24 August 2024,Baltimore Orioles,Houston Astros,16:05
Saturday 24 August 2024,Oakland Athletics,Milwaukee Brewers,16:07
Saturday 24 August 2024,Boston Red Sox,Arizona D'Backs,16:10
Saturday 24 August 2024,Miami Marlins,Chicago Cubs,16:10
Saturday 24 August 2024,Seattle Mariners,San Francisco Giants,16:10
Saturday 24 August 2024,Pittsburgh Pirates,Cincinnati Reds,18:40
Saturday 24 August 2024,Chicago White Sox,Detroit Tigers,19:10
Saturday 24 August 2024,Cleveland Guardians,Texas Rangers,19:10
Saturday 24 August 2024,Kansas City Royals,Philadelphia Phillies,19:10
Saturday 24 August 2024,Minnesota Twins,St. Louis Cardinals,19:10
Saturday 24 August 2024,Atlanta Braves,Washington Nationals,19:20
Saturday 24 August 2024,San Diego Padres,New York Mets,20:40
Saturday 24 August 2024,Los Angeles Dodgers,Tampa Bay Rays,21:10
Sunday 25 August 2024,Atlanta Braves,Washington Nationals,12:05
Sunday 25 August 2024,Boston Red Sox,Arizona D'Backs,13:35
Sunday 25 August 2024,New York Yankees,Colorado Rockies,13:35
Sunday 25 August 2024,Pittsburgh Pirates,Cincinnati Reds,13:35
Sunday 25 August 2024,Toronto Blue Jays,Los Angeles Angels,13:37
Sunday 25 August 2024,Cleveland Guardians,Texas Rangers,13:40
Sunday 25 August 2024,Miami Marlins,Chicago Cubs,13:40
Sunday 25 August 2024,Chicago White Sox,Detroit Tigers,14:10
Sunday 25 August 2024,Kansas City Royals,Philadelphia Phillies,14:10
Sunday 25 August 2024,Minnesota Twins,St. Louis Cardinals,14:10
Sunday 25 August 2024,Oakland Athletics,Milwaukee Brewers,16:07
Sunday 25 August 2024,Los Angeles Dodgers,Tampa Bay Rays,16:10
Sunday 25 August 2024,San Diego Padres,New York Mets,16:10
Sunday 25 August 2024,Seattle Mariners,San Francisco Giants,16:10
Sunday 25 August 2024,Baltimore Orioles,Houston Astros,19:10
Monday 26 August 2024,Cleveland Guardians,Kansas City Royals,13:10
