Date,Home,Away,Time,TV
Monday 21 August 2024,Columbus,Philadelphia,19:30,Apple TV - MLS Season Pass
Monday 21 August 2024,LAFC,Colorado,22:00,Apple TV - MLS Season Pass
Saturday 24 August 2024,Minnesota,Seattle,18:45,Apple TV - Free, FOX
Saturday 24 August 2024,Charlotte,New York,19:30,Apple TV - Free
Saturday 24 August 2024,D.C.,Dallas,19:30,Apple TV - Free
Saturday 24 August 2024,Miami,Cincinnati,19:30,Apple TV - Free
Saturday 24 August 2024,Montréal,New England,19:30,Apple TV - Free
Saturday 24 August 2024,New York City,Chicago,19:30,Apple TV - Free
Saturday 24 August 2024,Houston,Toronto,20:30,Apple TV - Free
Saturday 24 August 2024,Kansas City,Orlando,20:30,Apple TV - Free
Saturday 24 August 2024,Nashville,Austin,20:30,Apple TV - Free
Saturday 24 August 2024,Salt Lake,San Jose,21:30,Apple TV - Free
Saturday 24 August 2024,LA,Atlanta,22:30,Apple TV - Free
Saturday 24 August 2024,Portland,St. Louis,22:30,Apple TV - Free
Tuesday 27 August 2024,Toronto,Forge FC,19:00,
Tuesday 27 August 2024,Kansas City,Indy Eleven,20:00,Apple TV - Free
Tuesday 27 August 2024,Vancouver,Pacific FC,22:30,
Wednesday 28 August 2024,Philadelphia,Columbus,19:30,Apple TV - MLS Season Pass
Wednesday 28 August 2024,Seattle,LAFC,22:30,Apple TV - Free
Saturday 31 August 2024,Charlotte,Atlanta,19:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Cincinnati,Montréal,19:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Columbus,New York City,19:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,New York,Philadelphia,19:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Orlando,Nashville,19:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Toronto,D.C.,19:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Austin,Vancouver,20:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Chicago,Miami,20:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Dallas,Colorado,20:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Salt Lake,New England,21:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,LAFC,Houston,22:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,Portland,Seattle,22:30,Apple TV - MLS Season Pass
Saturday 31 August 2024,San Jose,Minnesota,22:30,Apple TV - MLS Season Pass
Sunday 1 September 2024,St. Louis,LA,14:45,Apple TV - MLS Season Pass, FOX
Saturday 7 September 2024,Columbus,Seattle,19:30,Apple TV - MLS Season Pass
Saturday 7 September 2024,New England,St. Louis,19:30,Apple TV - MLS Season Pass
Saturday 7 September 2024,New York,Kansas City,19:30,Apple TV - MLS Season Pass
Saturday 7 September 2024,Chicago,D.C.,20:30,Apple TV - MLS Season Pass
Saturday 7 September 2024,Houston,LAFC,20:30,Apple TV - MLS Season Pass
Saturday 7 September 2024,Vancouver,Dallas,22:30,Apple TV - MLS Season Pass
Saturday 14 September 2024,Atlanta,Nashville,19:30,Apple TV - MLS Season Pass
Saturday 14 September 2024,Cincinnati,Columbus,19:30,Apple TV - MLS Season Pass
Saturday 14 September 2024,D.C.,New York City,19:30,Apple TV - MLS Season Pass
