Date,Home,Away,Time,TV
Friday 10 November 2023,Capital City Go-Go,Maine Celtics,17:30,NBAGLeague.com
Friday 10 November 2023,Cleveland Charge,Wisconsin Herd,17:30,NBAGLeague.com
Friday 10 November 2023,Delaware Blue Coats,Westchester Knicks,17:30,NBA G League TV on Tubi
Friday 10 November 2023,Long Island Nets,Raptors 905,17:30,NBAGLeague.com
Friday 10 November 2023,Birmingham Squadron,Austin Spurs,17:30,NBAGLeague.com
Friday 10 November 2023,Iowa Wolves,Windy City Bulls,17:30,NBAGLeague.com
Friday 10 November 2023,Memphis Hustle,Rio Grande Valley Vipers,17:30,NBAGLeague.com
Friday 10 November 2023,Texas Legends,Oklahoma City Blue,17:30,NBAGLeague.com
Friday 10 November 2023,Mexico City Capitanes,Osceola Magic,17:30,NBAGLeague.com
Friday 10 November 2023,G League Ignite,San Diego Clippers,17:30,NBA G League TV on Tubi
Friday 10 November 2023,Santa Cruz Warriors,Stockton Kings,17:30,NBAGLeague.com
Friday 10 November 2023,South Bay Lakers,Rip City Remix,17:30,NBAGLeague.com
Saturday 11 November 2023,Long Island Nets,Greensboro Swarm,17:30,NBAGLeague.com
Saturday 11 November 2023,Iowa Wolves,Windy City Bulls,17:30,NBA G League TV on Tubi
Saturday 11 November 2023,Memphis Hustle,Rio Grande Valley Vipers,17:30,NBAGLeague.com
Saturday 11 November 2023,Sioux Falls Skyforce,Indiana Mad Ants,17:30,NBAGLeague.com
Saturday 11 November 2023,South Bay Lakers,Rip City Remix,17:30,NBAGLeague.com
Saturday 11 November 2023,Texas Legends,Oklahoma City Blue,17:30,NBAGLeague.com
Saturday 11 November 2023,G League Ignite,San Diego Clippers,17:30,NBA G League TV on Tubi
Saturday 11 November 2023,Santa Cruz Warriors,Salt Lake City Stars,17:30,NBAGLeague.com
Sunday 12 November 2023,Raptors 905,College Park Skyhawks,17:30,NBA TV
Sunday 12 November 2023,Grand Rapids Gold,Motor City Cruise,17:30,NBAGLeague.com
Sunday 12 November 2023,Westchester Knicks,Maine Celtics,17:30,NBAGLeague.com
Sunday 12 November 2023,Austin Spurs,Osceola Magic,17:30,NBAGLeague.com
Sunday 12 November 2023,Mexico City Capitanes,Birmingham Squadron,17:30,NBAGLeague.com
Sunday 12 November 2023,Cleveland Charge,Wisconsin Herd,17:30,NBAGLeague.com
Monday 13 November 2023,Indiana Mad Ants,Windy City Bulls,17:30,NBAGLeague.com
Monday 13 November 2023,Capital City Go-Go,Delaware Blue Coats,17:30,NBAGLeague.com
Monday 13 November 2023,Long Island Nets,Greensboro Swarm,17:30,NBAGLeague.com
Monday 13 November 2023,Oklahoma City Blue,Memphis Hustle,17:30,NBAGLeague.com
Monday 13 November 2023,Mexico City Capitanes,Birmingham Squadron,17:30,NBAGLeague.com
Monday 13 November 2023,Salt Lake City Stars,G League Ignite,17:30,NBAGLeague.com
Monday 13 November 2023,San Diego Clippers,Rip City Remix,17:30,NBAGLeague.com
Tuesday 14 November 2023,Indiana Mad Ants,Grand Rapids Gold,17:30,ESPN+
Tuesday 14 November 2023,Motor City Cruise,Iowa Wolves,17:30,ESPN+
