Date,Home,Away,Time,TV
Friday 4 October 2024,Buffalo Sabres,New Jersey Devils,13:00,
Friday 4 October 2024,Pittsburgh Penguins,Columbus Blue Jackets,19:00,
Friday 4 October 2024,Carolina Hurricanes,Tampa Bay Lightning,19:00,
Friday 4 October 2024,New York Rangers,New York Islanders,19:00,
Friday 4 October 2024,Detroit Red Wings,Ottawa Senators,19:00,
Friday 4 October 2024,Chicago Blackhawks,Minnesota Wild,20:30,
Friday 4 October 2024,Calgary Flames,Winnipeg Jets,21:00,
Friday 4 October 2024,San Jose Sharks,Anaheim Ducks,22:00,
Friday 4 October 2024,Vancouver Canucks,Edmonton Oilers,22:00,
Saturday 5 October 2024,New Jersey Devils,Buffalo Sabres,10:00,
Saturday 5 October 2024,Washington Capitals,Boston Bruins,17:00,
Saturday 5 October 2024,Nashville Predators,Carolina Hurricanes,17:00,
Saturday 5 October 2024,Utah Jazz,Colorado Avalanche,19:00,
Saturday 5 October 2024,Toronto Maple Leafs,Detroit Red Wings,19:00,
Saturday 5 October 2024,Los Angeles Kings,Florida Panthers,19:00,
Saturday 5 October 2024,Ottawa Senators,Montreal Canadiens,19:00,
Saturday 5 October 2024,Chicago Blackhawks,St. Louis Blues,20:00,
Saturday 5 October 2024,Vegas Golden Knights,San Jose Sharks,22:00,
Tuesday 8 October 2024,Seattle Kraken,St. Louis Blues,16:30,
Tuesday 8 October 2024,Florida Panthers,Boston Bruins,19:00,
Tuesday 8 October 2024,Utah Jazz,Chicago Blackhawks,22:00,
Wednesday 9 October 2024,Montreal Canadiens,Toronto Maple Leafs,19:00,
Wednesday 9 October 2024,Pittsburgh Penguins,New York Rangers,19:30,TNT HBO Max
Wednesday 9 October 2024,Edmonton Oilers,Winnipeg Jets,22:00,
Wednesday 9 October 2024,Vancouver Canucks,Calgary Flames,22:00,
Wednesday 9 October 2024,Vegas Golden Knights,Colorado Avalanche,22:00,TNT HBO Max
Thursday 10 October 2024,Boston Bruins,Montreal Canadiens,19:00,
Thursday 10 October 2024,Buffalo Sabres,Los Angeles Kings,19:00,
Thursday 10 October 2024,Ottawa Senators,Florida Panthers,19:00,
Thursday 10 October 2024,Detroit Red Wings,Pittsburgh Penguins,19:00,
Thursday 10 October 2024,New Jersey Devils,Toronto Maple Leafs,19:00,
Thursday 10 October 2024,New York Rangers,Utah Jazz,19:30,
Thursday 10 October 2024,Nashville Predators,Dallas Stars,20:00,
Thursday 10 October 2024,Minnesota Wild,Columbus Blue Jackets,20:00,
Thursday 10 October 2024,San Jose Sharks,St. Louis Blues,22:30,
Friday 11 October 2024,Carolina Hurricanes,Tampa Bay Lightning,19:00,
Friday 11 October 2024,Winnipeg Jets,Chicago Blackhawks,20:00,
Friday 11 October 2024,Vancouver Canucks,Philadelphia Flyers,22:00,
Friday 11 October 2024,Vegas Golden Knights,St. Louis Blues,22:00,
Saturday 12 October 2024,Boston Bruins,Los Angeles Kings,13:00,
Saturday 12 October 2024,Buffalo Sabres,Florida Panthers,19:00,
Saturday 12 October 2024,Toronto Maple Leafs,Pittsburgh Penguins,19:00,
Saturday 12 October 2024,Montreal Canadiens,Ottawa Senators,19:00,
Saturday 12 October 2024,Detroit Red Wings,Nashville Predators,19:00,
Saturday 12 October 2024,Tampa Bay Lightning,Carolina Hurricanes,19:00,
Saturday 12 October 2024,New York Rangers,Utah Jazz,19:00,
Saturday 12 October 2024,Washington Capitals,New Jersey Devils,19:00,
Saturday 12 October 2024,Dallas Stars,New York Islanders,20:00,
Saturday 12 October 2024,Minnesota Wild,Seattle Kraken,20:00,
Saturday 12 October 2024,Colorado Avalanche,Columbus Blue Jackets,21:00,
Saturday 12 October 2024,Calgary Flames,Philadelphia Flyers,22:00,
Saturday 12 October 2024,Edmonton Oilers,Chicago Blackhawks,22:00,
Saturday 12 October 2024,San Jose Sharks,Anaheim Ducks,22:00,
Sunday 13 October 2024,Winnipeg Jets,Minnesota Wild,18:00,
Sunday 13 October 2024,Dallas Stars,Seattle Kraken,20:00,
Sunday 13 October 2024,Edmonton Oilers,Calgary Flames,20:00,
Sunday 13 October 2024,Vegas Golden Knights,Anaheim Ducks,22:00,
Monday 14 October 2024,Boston Bruins,Florida Panthers,13:00,
Monday 14 October 2024,Ottawa Senators,Los Angeles Kings,13:00,
Monday 14 October 2024,New Jersey Devils,Utah Jazz,13:00,
Monday 14 October 2024,New York Rangers,Detroit Red Wings,19:00,
Monday 14 October 2024,Montreal Canadiens,Pittsburgh Penguins,19:30,
Monday 14 October 2024,Colorado Avalanche,New York Islanders,21:00,
Tuesday 15 October 2024,Tampa Bay Lightning,Vancouver Canucks,19:00,
Tuesday 15 October 2024,Washington Capitals,Vegas Golden Knights,19:00,
Tuesday 15 October 2024,Carolina Hurricanes,New Jersey Devils,19:00,
Tuesday 15 October 2024,Columbus Blue Jackets,Florida Panthers,19:00,
Tuesday 15 October 2024,St. Louis Blues,Minnesota Wild,19:30,
Tuesday 15 October 2024,Nashville Predators,Seattle Kraken,20:00,
Tuesday 15 October 2024,Dallas Stars,San Jose Sharks,20:00,
Tuesday 15 October 2024,Calgary Flames,Chicago Blackhawks,21:00,
Tuesday 15 October 2024,Edmonton Oilers,Philadelphia Flyers,22:00,
Wednesday 16 October 2024,Pittsburgh Penguins,Buffalo Sabres,19:00,
Wednesday 16 October 2024,Toronto Maple Leafs,Los Angeles Kings,19:30,
Wednesday 16 October 2024,Colorado Avalanche,Boston Bruins,21:30,
Wednesday 16 October 2024,Anaheim Ducks,Utah Jazz,22:00,
Thursday 17 October 2024,Montreal Canadiens,Los Angeles Kings,19:00,
Thursday 17 October 2024,Ottawa Senators,New Jersey Devils,19:00,
Thursday 17 October 2024,Detroit Red Wings,New York Rangers,19:00,
Thursday 17 October 2024,Tampa Bay Lightning,Vegas Golden Knights,19:00,
Thursday 17 October 2024,Florida Panthers,Vancouver Canucks,19:00,
Thursday 17 October 2024,Washington Capitals,Dallas Stars,19:00,
Thursday 17 October 2024,Columbus Blue Jackets,Buffalo Sabres,19:00,
Thursday 17 October 2024,St. Louis Blues,New York Islanders,20:00,
Thursday 17 October 2024,Nashville Predators,Edmonton Oilers,20:00,
Thursday 17 October 2024,Chicago Blackhawks,San Jose Sharks,20:30,
Thursday 17 October 2024,Seattle Kraken,Philadelphia Flyers,22:00,
Friday 18 October 2024,Pittsburgh Penguins,Carolina Hurricanes,19:00,
Friday 18 October 2024,Winnipeg Jets,San Jose Sharks,20:00,
Friday 18 October 2024,Colorado Avalanche,Anaheim Ducks,21:00,
Saturday 19 October 2024,Ottawa Senators,Tampa Bay Lightning,13:00,
Saturday 19 October 2024,Nashville Predators,Detroit Red Wings,14:00,
Saturday 19 October 2024,Dallas Stars,Edmonton Oilers,16:00,
