Date,Home,Away,Time
Wednesday 21 August 2024,Yomiuri Giants,Hiroshima Carp,18:00
Wednesday 21 August 2024,Yokohama DeNA BayStars,Chunichi Dragons,17:45
Wednesday 21 August 2024,Hanshin Tigers,Tokyo Yakult Swallows,18:00
Wednesday 21 August 2024,Tohoku Rakuten Golden Eagles,Fukuoka SoftBank Hawks,18:00
Wednesday 21 August 2024,Orix Buffaloes,Saitama Seibu Lions,18:00
Wednesday 21 August 2024,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,18:00
Thursday 22 August 2024,Yomiuri Giants,Hiroshima Carp,18:00
Thursday 22 August 2024,Yokohama DeNA BayStars,Chunichi Dragons,17:45
Thursday 22 August 2024,Hanshin Tigers,Tokyo Yakult Swallows,18:00
Thursday 22 August 2024,Orix Buffaloes,Saitama Seibu Lions,18:00
Thursday 22 August 2024,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,18:00
Friday 23 August 2024,Yomiuri Giants,Chunichi Dragons,18:00
Friday 23 August 2024,Tokyo Yakult Swallows,Yokohama DeNA BayStars,18:00
Friday 23 August 2024,Hiroshima Carp,Hanshin Tigers,18:00
Friday 23 August 2024,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,18:00
Friday 23 August 2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,18:00
Friday 23 August 2024,Orix Buffaloes,Chiba Lotte Marines,18:00
Saturday 24 August 2024,Yomiuri Giants,Chunichi Dragons,14:00
Saturday 24 August 2024,Tokyo Yakult Swallows,Yokohama DeNA BayStars,18:00
Saturday 24 August 2024,Hiroshima Carp,Hanshin Tigers,18:00
Saturday 24 August 2024,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,15:00
Saturday 24 August 2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,17:00
Saturday 24 August 2024,Orix Buffaloes,Chiba Lotte Marines,15:00
Sunday 25 August 2024,Yomiuri Giants,Chunichi Dragons,14:00
Sunday 25 August 2024,Tokyo Yakult Swallows,Yokohama DeNA BayStars,17:00
Sunday 25 August 2024,Hiroshima Carp,Hanshin Tigers,18:00
Sunday 25 August 2024,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,13:00
Sunday 25 August 2024,Saitama Seibu Lions,Tohoku Rakuten Golden Eagles,17:00
Sunday 25 August 2024,Orix Buffaloes,Chiba Lotte Marines,13:00
Monday 26 August 2024,Tokyo Yakult Swallows,Yomiuri Giants,18:00
Monday 26 August 2024,Yokohama DeNA BayStars,Hanshin Tigers,18:00
Monday 26 August 2024,Chunichi Dragons,Hiroshima Carp,18:00
Monday 26 August 2024,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,18:00
Monday 26 August 2024,Chiba Lotte Marines,Saitama Seibu Lions,18:00
Monday 26 August 2024,Fukuoka SoftBank Hawks,Orix Buffaloes,18:00
Tuesday 27 August 2024,Tokyo Yakult Swallows,Yomiuri Giants,18:00
Tuesday 27 August 2024,Yokohama DeNA BayStars,Hanshin Tigers,18:00
Tuesday 27 August 2024,Chunichi Dragons,Hiroshima Carp,18:00
Tuesday 27 August 2024,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,18:00
Tuesday 27 August 2024,Chiba Lotte Marines,Saitama Seibu Lions,18:00
Tuesday 27 August 2024,Fukuoka SoftBank Hawks,Orix Buffaloes,18:00
Wednesday 28 August 2024,Tokyo Yakult Swallows,Yomiuri Giants,18:00
Wednesday 28 August 2024,Yokohama DeNA BayStars,Hanshin Tigers,18:00
Wednesday 28 August 2024,Chunichi Dragons,Hiroshima Carp,18:00
Wednesday 28 August 2024,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,18:00
Wednesday 28 August 2024,Chiba Lotte Marines,Saitama Seibu Lions,18:00
Wednesday 28 August 2024,Fukuoka SoftBank Hawks,Orix Buffaloes,18:00
Thursday 29 August 2024,Tokyo Yakult Swallows,Yomiuri Giants,18:00
Thursday 29 August 2024,Yokohama DeNA BayStars,Hanshin Tigers,18:00
Thursday 29 August 2024,Chunichi Dragons,Hiroshima Carp,18:00
