Date,Home,Away,Time
Friday 16 August 2024,Genoa,Inter Milan,20:45
Saturday 17 August 2024,Parma,Fiorentina,18:30
Saturday 17 August 2024,Empoli,Monza,18:30
Saturday 17 August 2024,Milan,Torino,20:45
Sunday 18 August 2024,Bologna,Udinese,18:30
Sunday 18 August 2024,Hellas Verona,Napoli,18:30
Sunday 18 August 2024,Roma,Lazio,20:45
Sunday 18 August 2024,Venezia,Lecce,20:45
Monday 19 August 2024,Atalanta,Juventus,18:30
Monday 19 August 2024,Cagliari,Como,20:45
Saturday 24 August 2024,Parma,Milan,18:30
Saturday 24 August 2024,Udinese,Lazio,18:30
Saturday 24 August 2024,Inter Milan,Lecce,20:45
Saturday 24 August 2024,Monza,Genoa,20:45
Sunday 25 August 2024,Fiorentina,Venezia,18:30
Sunday 25 August 2024,Torino,Atalanta,18:30
Sunday 25 August 2024,Napoli,Bologna,20:45
Sunday 25 August 2024,Roma,Empoli,20:45
Monday 26 August 2024,Cagliari,Como,18:30
Monday 26 August 2024,Hellas Verona,Juventus,20:45
Friday 30 August 2024,Venezia,Torino,18:30
Friday 30 August 2024,Inter Milan,Atalanta,20:45
Saturday 31 August 2024,Bologna,Empoli,18:30
Saturday 31 August 2024,Lecce,Cagliari,18:30
Saturday 31 August 2024,Lazio,Milan,20:45
Saturday 31 August 2024,Napoli,Parma,20:45
Sunday 1 September 2024,Fiorentina,Monza,18:30
Sunday 1 September 2024,Genoa,Hellas Verona,18:30
Sunday 1 September 2024,Juventus,Roma,20:45
Sunday 1 September 2024,Udinese,Como,20:45
Sunday 15 September 2024,Atalanta,Fiorentina,18:00
Sunday 15 September 2024,Cagliari,Napoli,18:00
Sunday 15 September 2024,Como,Bologna,18:00
Sunday 15 September 2024,Empoli,Juventus,18:00
Sunday 15 September 2024,Genoa,Roma,18:00
Sunday 15 September 2024,Lazio,Hellas Verona,18:00
Sunday 15 September 2024,Milan,Venezia,18:00
Sunday 15 September 2024,Monza,Inter Milan,18:00
Sunday 15 September 2024,Parma,Udinese,18:00
Sunday 15 September 2024,Torino,Lecce,18:00
Sunday 22 September 2024,Atalanta,Como,18:00
Sunday 22 September 2024,Cagliari,Empoli,18:00
Sunday 22 September 2024,Fiorentina,Lazio,18:00
Sunday 22 September 2024,Hellas Verona,Torino,18:00
Sunday 22 September 2024,Inter Milan,Milan,18:00
Sunday 22 September 2024,Juventus,Napoli,18:00
Sunday 22 September 2024,Lecce,Parma,18:00
Sunday 22 September 2024,Monza,Bologna,18:00
Sunday 22 September 2024,Roma,Udinese,18:00
Sunday 22 September 2024,Venezia,Genoa,18:00
Sunday 29 September 2024,Bologna,Atalanta,18:00
Sunday 29 September 2024,Como,Hellas Verona,18:00
Sunday 29 September 2024,Empoli,Fiorentina,18:00
Sunday 29 September 2024,Genoa,Juventus,18:00
Sunday 29 September 2024,Milan,Lecce,18:00
Sunday 29 September 2024,Napoli,Monza,18:00
Sunday 29 September 2024,Parma,Cagliari,18:00
Sunday 29 September 2024,Roma,Venezia,18:00
Sunday 29 September 2024,Torino,Lazio,18:00
Sunday 29 September 2024,Udinese,Inter Milan,18:00
Sunday 6 October 2024,Atalanta,Genoa,18:00
Sunday 6 October 2024,Bologna,Parma,18:00
Sunday 6 October 2024,Fiorentina,Milan,18:00
Sunday 6 October 2024,Hellas Verona,Venezia,18:00
Sunday 6 October 2024,Inter Milan,Torino,18:00
Sunday 6 October 2024,Juventus,Cagliari,18:00
Sunday 6 October 2024,Lazio,Empoli,18:00
Sunday 6 October 2024,Monza,Roma,18:00
Sunday 6 October 2024,Napoli,Como,18:00
Sunday 6 October 2024,Udinese,Lecce,18:00
Sunday 20 October 2024,Cagliari,Torino,18:00
Sunday 20 October 2024,Como,Parma,18:00
Sunday 20 October 2024,Empoli,Napoli,18:00
Sunday 20 October 2024,Genoa,Bologna,18:00
Sunday 20 October 2024,Hellas Verona,Monza,18:00
Sunday 20 October 2024,Juventus,Lazio,18:00
Sunday 20 October 2024,Lecce,Fiorentina,18:00
Sunday 20 October 2024,Milan,Udinese,18:00
Sunday 20 October 2024,Roma,Inter Milan,18:00
Sunday 20 October 2024,Venezia,Atalanta,18:00
Sunday 27 October 2024,Atalanta,Hellas Verona,18:00
Sunday 27 October 2024,Bologna,Milan,18:00
Sunday 27 October 2024,Fiorentina,Roma,18:00
Sunday 27 October 2024,Inter Milan,Juventus,18:00
Sunday 27 October 2024,Lazio,Genoa,18:00
Sunday 27 October 2024,Monza,Venezia,18:00
Sunday 27 October 2024,Napoli,Lecce,18:00
Sunday 27 October 2024,Parma,Empoli,18:00
Sunday 27 October 2024,Torino,Como,18:00
Sunday 27 October 2024,Udinese,Cagliari,18:00
Wednesday 30 October 2024,Atalanta,Monza,18:00
Wednesday 30 October 2024,Cagliari,Bologna,18:00
Wednesday 30 October 2024,Como,Lazio,18:00
Wednesday 30 October 2024,Empoli,Inter Milan,18:00
Wednesday 30 October 2024,Genoa,Fiorentina,18:00
Wednesday 30 October 2024,Juventus,Parma,18:00
Wednesday 30 October 2024,Lecce,Hellas Verona,18:00
Wednesday 30 October 2024,Milan,Napoli,18:00
Wednesday 30 October 2024,Roma,Torino,18:00
Wednesday 30 October 2024,Venezia,Udinese,18:00
Sunday 3 November 2024,Bologna,Lecce,18:00
Sunday 3 November 2024,Empoli,Como,18:00
Sunday 3 November 2024,Hellas Verona,Roma,18:00
Sunday 3 November 2024,Inter Milan,Venezia,18:00
Sunday 3 November 2024,Lazio,Cagliari,18:00
Sunday 3 November 2024,Monza,Milan,18:00
Sunday 3 November 2024,Napoli,Atalanta,18:00
